seq	batch	kind	status	action	path	notes
1	root	text	reviewed-noncode	checked	.dockerignore	文本/配置文件，已逐文件读取，24 行，不涉及死代码。
2	root	text	reviewed-noncode	checked	.gitignore	文本/配置文件，已逐文件读取，162 行，不涉及死代码。
3	root	text	reviewed-noncode	checked	AGENTS.md	文本/配置文件，已逐文件读取，49 行，不涉及死代码。
4	root	text	reviewed-noncode	checked	DEAD_CODE_AUDIT_FILELIST.tsv	文本/配置文件，已逐文件读取，926 行，不涉及死代码。
5	root	text	reviewed-noncode	checked	DEAD_CODE_AUDIT_PROGRESS.md	文本/配置文件，已逐文件读取，27 行，不涉及死代码。
6	root	text	reviewed-noncode	checked	README.md	文本/配置文件，已逐文件读取，504 行，不涉及死代码。
7	backend	text	reviewed-noncode	checked	backend/.env.example	文本/配置文件，已逐文件读取，38 行，不涉及死代码。
8	backend	text	reviewed-noncode	checked	backend/README.md	文本/配置文件，已逐文件读取，183 行，不涉及死代码。
9	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/__init__.py	已逐文件读取并完成首轮复核；py 文件 0 行，顶层符号 0，导入语句 0。
10	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/__init__.py	已逐文件读取并完成首轮复核；py 文件 0 行，顶层符号 0，导入语句 0。
11	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/__init__.py	已逐文件读取并完成首轮复核；py 文件 44 行，顶层符号 0，导入语句 2。
12	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/admin_dashboard.py	已逐文件读取并完成首轮复核；py 文件 766 行，顶层符号 28，导入语句 17。
13	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/admin_users.py	已逐文件读取并完成首轮复核；py 文件 387 行，顶层符号 24，导入语句 20。
14	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/admin_utils.py	已逐文件读取并完成首轮复核；py 文件 54 行，顶层符号 3，导入语句 4。
15	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/auth.py	已逐文件读取并完成首轮复核；py 文件 288 行，顶层符号 16，导入语句 15。
16	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/chapter_rag_helpers.py	已逐文件读取并完成首轮复核；py 文件 149 行，顶层符号 4，导入语句 6。
